Date,Open,High,Low,Close*,Adj Close**
1-Dec-10,"1,186.60","1,207.61","1,186.60","1,206.07","1,206.07"
2-Dec-10,"1,206.81","1,221.89","1,206.81","1,221.53","1,221.53"
3-Dec-10,"1,219.93","1,225.57","1,216.82","1,224.71","1,224.71"
6-Dec-10,"1,223.87","1,225.80","1,220.67","1,223.12","1,223.12"
7-Dec-10,"1,227.25","1,235.05","1,223.25","1,223.75","1,223.75"
8-Dec-10,"1,225.02","1,228.93","1,219.50","1,228.28","1,228.28"
9-Dec-10,"1,230.14","1,234.71","1,226.85","1,233.00","1,233.00"
10-Dec-10,"1,233.85","1,240.40","1,232.58","1,240.40","1,240.40"
13-Dec-10,"1,242.52","1,246.73","1,240.34","1,240.46","1,240.46"
14-Dec-10,"1,241.84","1,246.59","1,238.17","1,241.59","1,241.59"
15-Dec-10,"1,241.58","1,244.25","1,234.01","1,235.23","1,235.23"
16-Dec-10,"1,236.34","1,243.75","1,232.85","1,242.87","1,242.87"
17-Dec-10,"1,243.63","1,245.81","1,239.87","1,243.91","1,243.91"
20-Dec-10,"1,245.76","1,250.20","1,241.51","1,247.08","1,247.08"
21-Dec-10,"1,249.43","1,255.82","1,249.43","1,254.60","1,254.60"
22-Dec-10,"1,254.94","1,259.39","1,254.94","1,258.84","1,258.84"
23-Dec-10,"1,257.53","1,258.59","1,254.05","1,256.77","1,256.77"
27-Dec-10,"1,254.66","1,258.43","1,251.48","1,257.54","1,257.54"
28-Dec-10,"1,259.10","1,259.90","1,256.22","1,258.51","1,258.51"
29-Dec-10,"1,258.78","1,262.60","1,258.78","1,259.78","1,259.78"
30-Dec-10,"1,259.44","1,261.09","1,256.32","1,257.88","1,257.88"
31-Dec-10,"1,256.76","1,259.34","1,254.19","1,257.64","1,257.64"
3-Jan-11,"1,257.62","1,276.17","1,257.62","1,271.87","1,271.87"
4-Jan-11,"1,272.95","1,274.12","1,262.66","1,270.20","1,270.20"
5-Jan-11,"1,268.78","1,277.63","1,265.36","1,276.56","1,276.56"
6-Jan-11,"1,276.29","1,278.17","1,270.43","1,273.85","1,273.85"
7-Jan-11,"1,274.41","1,276.83","1,261.70","1,271.50","1,271.50"
10-Jan-11,"1,270.84","1,271.52","1,262.18","1,269.75","1,269.75"
11-Jan-11,"1,272.58","1,277.25","1,269.62","1,274.48","1,274.48"
12-Jan-11,"1,275.65","1,286.87","1,275.65","1,285.96","1,285.96"
13-Jan-11,"1,285.78","1,286.70","1,280.47","1,283.76","1,283.76"
14-Jan-11,"1,282.90","1,293.24","1,281.24","1,293.24","1,293.24"
18-Jan-11,"1,293.22","1,296.06","1,290.16","1,295.02","1,295.02"
19-Jan-11,"1,294.52","1,294.60","1,278.92","1,281.92","1,281.92"
20-Jan-11,"1,280.85","1,283.35","1,271.26","1,280.26","1,280.26"
21-Jan-11,"1,283.63","1,291.21","1,282.07","1,283.35","1,283.35"
